,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance
46,185.60000000000002,792.0,233577969.0,5.032183257030227,320.5,2.720032733008729,1080.0,189.33076388670696,446.57928802589,396.0,82.0,998.0,138.92059052171956,501.968045889229,0.7000402022118255,233577969.0,0.03498194521539481,52538.85860014033
47,1020.0,1350.6000000000001,2697378345.0,3.753180317812081,104.0,4.365073871226877,1702.0,99.44852263302508,1124.6152019002375,1075.0,915.0,787.0,59.818599570128875,1131.9959764664986,1.4298481857917893,2697378345.0,0.12010336208890719,16655.53839123002
48,121.0,1062.0,13240181923.0,4.500453821753931,844.0,1.7199974522007406,1677.0,397.99659341045117,486.75562955915,199.0,14.0,1663.0,346.5433181620176,648.0148985093911,0.6639090401427015,13240181923.0,0.07379304885253188,182992.26578261185
49,985.0,1104.0,47703395338.0,3.0295368347312754,41.0,32.63859076942232,1834.0,47.04330636406504,1063.4807940684047,1068.0,97.0,1737.0,19.010432788329375,1068.1556990518218,-1.4154066187317678,47703395338.0,0.19994850109786408,9965.198064521332
50,413.0,1118.0,25785551602.0,4.4713345825746105,140.0,3.5025882774636767,1938.0,208.5025063627395,916.8905767524401,1018.0,180.0,1758.0,125.25405071951464,956.656993620372,-1.008277672142973,25785551602.0,0.09384644362895422,74504.27370534616
51,109.0,816.0,3537818571.0,4.4251558527013355,188.0,5.040792615283285,1525.0,201.33142732173545,302.9076468934495,185.0,24.0,1501.0,109.27591022575072,407.1460454251195,1.7720352703981224,3537818571.0,0.07511325544660964,74014.85975878676
52,1094.0,1147.0,19798539526.0,1.987535314197359,28.0,121.86010554017722,1208.0,22.036152201931387,1115.9088042381434,1121.0,245.0,963.0,11.480965840184147,1117.4285387567531,-9.819509138656239,19798539526.0,0.32142529167655215,3394.0798518496686
53,1033.0,1082.0,51194366534.0,1.8057634974955468,25.0,7.793950809894753,1129.0,15.723987299689322,1057.9015418261345,1060.0,766.0,363.0,10.374227683662099,1058.118310169529,-1.2336874551437547,51194366534.0,0.3569998186677731,458.6861179070806
54,995.0,1353.0,29064256654.0,4.124821335111916,77.0,11.485279007061248,2056.0,118.88012200525785,1095.5364147461482,1071.0,5.0,2051.0,50.51067569663442,1116.843523310158,-1.3169356968655914,29064256654.0,0.10889501074546269,47139.419525002704
55,923.0,1162.0,45498355837.0,3.94973971807298,149.0,12.852445381241143,1273.0,85.28222111004519,1023.8298343830185,1018.0,3.0,1270.0,61.23599718580485,1030.1989661664227,-1.6084740290505684,45498355837.0,0.07799088809240907,13082.38011760728
56,151.0,1112.0,4434994222.0,4.991379702298188,467.0,2.616505274797198,1482.0,305.87029591411095,448.7076089410702,263.0,0.0,1482.0,225.07556175034338,577.7408308880126,1.0421373080626113,4434994222.0,0.04978760325116913,132445.9493535588
57,208.0,1064.0,37064985126.0,5.4245133577416045,641.0,1.782421732047837,1787.0,295.95092494010805,653.0902911916346,634.0,19.0,1768.0,247.57278551468715,733.6926590596554,0.05027685205170112,37064985126.0,0.02731517313862395,111777.98950925365
58,221.0,818.8000000000002,488513063.0,4.384953807005843,178.5,4.925117669937023,1154.0,177.0448711816517,400.26479750778816,303.0,95.0,1059.0,95.92899882145034,466.269013137665,1.7270842590186013,488513063.0,0.07296699213647669,57194.88448842139
59,1044.7,1156.0,1503506445.0,2.567721594191341,47.0,3.408569026753627,1213.0,33.2199985746239,1114.8385761589404,1128.0,954.0,259.0,22.50547051089409,1115.6274201376166,-1.0207466485963221,1503506445.0,0.2158444256830841,1759.489670820359
60,715.0,1082.0,3951252310.0,3.417201689179791,60.0,8.857871059148309,1134.0,124.93811813230145,974.276430892277,1046.0,84.0,1050.0,40.08108198562502,993.7636469269298,-2.591271348763859,3951252310.0,0.16454765338907712,38351.62216131796
61,298.0,1098.0,5536236623.0,4.170179158055708,429.0,2.5400785516768765,1178.0,265.085554178101,866.4485709918997,1057.0,123.0,1055.0,202.59733878658955,919.8539165129893,-1.0746451362076739,5536236623.0,0.11601346658647203,95398.10155038038
62,224.0,1197.0,88603290362.0,4.875135677891994,155.0,4.020872710461373,2428.0,255.61525946804952,907.4871239757093,999.0,0.0,2428.0,130.41601575754095,979.340230912563,-1.0021918287330234,88603290362.0,0.05618675034603902,135574.40770216793
63,244.0,1355.0,5644137192.0,5.363511970332725,877.5,1.4474669335639523,1931.0,409.5147173665963,808.186137422944,970.0,156.0,1775.0,361.853665165882,921.2029220728425,-0.09002620217598935,5644137192.0,0.030499481630274994,195449.99091292592
64,405.0,1128.0,10201285009.0,4.083746351510006,384.0,2.642004923390697,1191.0,240.59255093810168,917.3331828849973,1084.0,188.0,1003.0,180.428394039901,959.6144085271426,-1.1201833719196683,10201285009.0,0.11464125723288728,79359.64463097775
65,976.0,1512.0,37017202244.0,4.522093478384531,126.0,6.674460745548572,2464.0,178.16519178354187,1131.0181324328291,1074.5,117.0,2347.0,83.2960616297219,1165.6451474393634,0.13233318817109924,37017202244.0,0.08964071749860275,79526.59385709067
66,372.0,1184.0,122822525461.0,3.8070736987175007,84.0,5.536599871957013,1757.0,192.82328302170242,1026.0246477248609,1134.0,134.0,1623.0,75.93834870601228,1064.6098650857996,-1.9723943602960605,122822525461.0,0.1544497525321121,80667.58709907933
67,131.0,1064.0,2251238242.0,4.488445270527391,362.75,2.8258526245529785,1558.0,285.56873647855406,399.9850560398506,224.0,24.0,1534.0,212.29925621273213,529.4841402672233,1.1927665438704738,2251238242.0,0.06756214630999255,120365.40973931814
68,272.0,1193.0,11022714511.0,5.021217503970266,386.0,3.3478516804127962,2732.0,281.7320975795494,904.922690078418,1066.0,0.0,2732.0,191.7109375061125,969.3000887421081,-1.179880757752013,11022714511.0,0.048386257744706215,120657.58701669799
69,266.0,1097.0,24105623266.0,4.639127705370896,243.0,3.1334308409451768,1769.0,253.30379308597028,866.2155114697488,1014.0,0.0,1769.0,169.37006335111414,921.6385637166794,-1.2505430238275184,24105623266.0,0.06701983821075821,99088.32981894538
70,900.0,1048.6000000000022,28064489915.0,2.6745460439442392,42.5,16.167325848484687,1213.0,42.31915340852322,945.9929886345445,926.0,46.0,1167.0,23.407014472335984,947.8897377112656,0.3926538077196528,28064489915.0,0.22793258241144798,3592.2203126144054
71,395.0,1173.0,41044005174.0,4.574164742019335,183.0,3.595628264095848,1552.0,216.22489179773495,941.4477527826047,1060.0,119.0,1433.0,131.16558335629574,981.728597270225,-1.3741202050093992,41044005174.0,0.07116749467633238,77467.1674787475
72,163.0,1208.0,22297304533.0,5.032703816712605,900.0,1.4907914854405169,1548.0,407.008619694102,780.0036950672646,1026.0,0.0,1548.0,359.57128742462595,894.3731333354591,-0.49043854031763295,22297304533.0,0.04160242080074002,191497.5373137008
73,50.0,335.4000000000001,72798577.0,3.844588792996675,104.0,14.632895707632953,1193.0,96.63579869919143,160.7863304578633,119.0,0.0,1193.0,49.05824465541971,219.78842604413802,2.934496497858961,72798577.0,0.09909033226495774,22454.708160854305
74,324.9000000000001,1080.0,15580126043.0,4.598115154897217,385.0,2.6701944036948078,1488.0,245.74927288856054,857.0717746182202,1012.0,77.0,1411.0,178.99152967670662,905.7805714129865,-1.0501934572523721,15580126043.0,0.0768279083722732,85866.41670201135
75,130.0,276.0,208649200.0,3.219287001059098,60.0,22.22417554725199,1002.0,63.28175088865001,202.2111543450065,173.0,67.0,935.0,27.376577877863145,232.64631115919127,3.9974002335823067,208649200.0,0.15575581092152124,13234.95515443921
76,304.0,1355.0,16378647313.0,5.299382681758547,238.0,3.2435608684678616,2099.0,259.5696457738727,979.9247755237778,1045.0,19.0,2080.0,155.98233276754007,1043.7279158324714,-0.8193940130366698,16378647313.0,0.03636710661488342,129115.39660266826
77,92.4,376.60000000000014,105443080.0,4.002309361606447,112.0,5.678065498880979,723.0,87.51526506350524,213.36733524355301,186.0,16.0,707.0,50.465790521704506,245.8166670730206,1.5598755267705195,105443080.0,0.08134744378124975,14900.214061953518
78,1078.0,1124.0,3031740567.0,1.700118779894583,24.0,15.400674673820559,1174.0,14.791021539283363,1100.6047162270183,1101.0,878.0,296.0,10.210742996494435,1100.784649840168,-1.441891973262753,3031740567.0,0.3628553591978535,396.1039425853402
79,970.0,1142.0,2371606653.0,3.383967319403008,88.0,2.8953276354273383,1215.0,53.168604001132955,1067.8112934362935,1078.0,845.0,370.0,37.157082434533386,1069.8587782982997,-0.5643515263960523,2371606653.0,0.11291805801940936,4376.847111840537
80,114.0,675.0,592206268.0,4.595578172017648,221.0,4.4488816032396015,1045.0,172.78553895025632,305.51851851851853,216.0,30.0,1015.0,107.15496125320388,379.86809935092396,1.5057055822560963,592206268.0,0.05828764026158095,50958.2077467331
81,1060.0,1079.0,4422024771.0,0.8382621889588646,10.0,2.979406533412021,1094.0,5.9261177626470625,1069.3330747349366,1069.0,1043.0,51.0,4.2611908618952,1069.358927537336,0.051817239173623734,4422024771.0,0.6259242786178045,55.29118172779973
82,1083.0,1148.0,406293966.0,2.1328267858008836,38.0,2.682556436283424,1182.0,20.806873372781062,1117.7969230769231,1118.0,1039.0,143.0,15.068397692607965,1118.0944861683201,-0.003660906750021349,406293966.0,0.2625041420118343,665.3187597633136
83,92.0,1012.0,362200548.0,3.935082563705078,547.5,2.709540090247809,1507.0,330.2061554863508,359.8165137614679,130.0,48.0,1459.0,253.6080828716077,526.2240339864326,1.155853864797927,362200548.0,0.13528369291773046,147443.81036949749
84,186.70000000000005,922.0,2159334415.0,5.169016352437796,386.0,2.87147065323715,1246.0,229.80631220532362,465.691730349345,368.0,0.0,1246.0,165.41653676276343,542.8342267028959,0.9330343759293719,2159334415.0,0.0346395607087012,77800.20996436395
85,146.0,961.4,83363216.0,4.462436473564109,355.75,2.7032841869571573,1142.0,255.41525332568398,392.7365269461078,232.5,87.0,1055.0,185.0439128981956,499.5902992111319,1.1416702294607517,83363216.0,0.0650973502097601,95348.48746817742
86,88.0,224.0,65130362.0,3.070991233121578,54.0,15.546797788951253,725.0,49.51544104529991,149.08914386584289,130.0,36.0,689.0,24.10457694905478,169.53594572598428,3.074768205676298,65130362.0,0.1673602406813488,6514.864074553884
87,1036.0,1142.0,171313712366.0,3.049872780361611,47.0,24.895537613272914,2184.0,56.56028143749795,1073.0974587532967,1093.0,147.0,2037.0,20.434469961538632,1080.4963039112458,-4.27635368424512,171313712366.0,0.17921299053392112,15934.106783079951
88,256.0,1329.0,25480651462.0,5.367194638531237,662.0,2.187816569176314,1566.0,342.4554614614254,928.3696271621784,1077.0,0.0,1566.0,266.83818668843645,1011.2473291601989,-0.7848861364816626,25480651462.0,0.03242872770958333,160750.99609639344
89,154.0,962.0,3985131306.0,4.246289271759583,159.0,5.591196323163542,1549.0,216.19677433319833,344.5590671661478,211.0,46.0,1503.0,104.89116381027452,458.54539512010064,1.9611147080244604,3985131306.0,0.09534900191544532,91542.92861944324
90,374.0,1058.0,993915560.0,4.846985015991157,500.0,1.6566799108923826,1112.0,233.9671939094135,759.2368591823491,798.0,239.0,873.0,199.17384626636434,803.1070261941356,-0.3236778980429128,993915560.0,0.0439802230278509,68540.28718130982
91,107.0,873.0,9002326470.0,4.779831944666118,214.0,6.541183021409517,2204.0,230.18316466014943,338.71120256496147,212.0,0.0,2204.0,123.92368315426909,464.1094485944889,1.9516350162138818,9002326470.0,0.05715611218164091,100672.30153167818
92,159.0,1072.0,58259690447.0,5.14390587879754,784.0,1.5877592616801277,2189.0,351.0580685936958,582.7556973185175,447.0,8.0,2181.0,310.99320527392206,696.1038738761844,0.3240040401948361,58259690447.0,0.03710418540700436,144956.4004682392
93,1034.9,1101.0,650594477.0,2.2441434830873184,37.75,3.3103012600070207,1151.0,22.082456140350878,1068.001754385965,1068.5,949.0,202.0,15.450811388036078,1068.3603415038606,-0.07372019008862321,650594477.0,0.24627885503231764,766.0719267466912
94,895.0,1062.0,20829783521.0,3.3102586676144634,116.0,6.119498135959654,1203.0,59.17435292984247,976.6603304643992,976.0,348.0,855.0,47.59492107437694,979.1348218481663,-0.6937344348302658,20829783521.0,0.11415971759961487,4839.5982528111235
