,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis
333,2802.970295526156,0.0856929967499016,164.16784542816742,1185.1817952431645,2.086700765615624,2715.210404017537,0.006665719410194473,0.004076979480455576,5.376315667839236,22148.525270218455,0.6754150497741059,0.787020041900736,0.4554316511671701,0.8474942808460603,978.9590072406337,0.003626471832557203
334,245.02613486478535,0.04221021947762383,133.1442818403457,468.64433490110565,1.4581741842541738,620.180139021867,0.014430834157703465,0.00898199798855742,5.521032101640875,4700.558709358215,0.8067476312325408,0.8862431685961097,0.1728125672276133,0.9163372475626392,440.0650818732623,0.00800777237503797
335,469.7059057822561,0.03785457047783059,117.79824493778428,1084.1595669961955,1.3649764563070492,1569.8091361771328,0.003850557837927545,0.0031274822670434464,5.5597362416840745,10387.098039038461,0.8346020197000305,0.904665200610358,0.13534602456832381,0.9296898215898188,992.5247761141461,0.0029786298011505894
336,3502.2396406287608,0.12929909519087163,69.71971468794803,1367.6507518280964,2.2047410365849016,3170.7357246576494,0.0027602597560942993,0.0016170406262368566,4.622356690965615,17223.766791066268,0.6334218633303225,0.7637089987941459,0.4763644465286252,0.8228401531256879,1106.2733238917172,0.0014295684202022738
337,3845.566976454085,0.07872667237634065,160.1987913358727,1247.1914803729544,2.1428279497032454,3153.5865631783886,0.004416943031366114,0.002900684439262137,5.387465160708887,33432.00745455072,0.6816845281023425,0.7852393732358939,0.49776597020959945,0.850307018569613,1007.9405211363348,0.0026503343654239596
338,984.1930556485156,0.056769296934206154,206.04049743123943,624.2034201479063,1.6580179453828736,1090.6891379211606,0.013536420064878235,0.008119003100775771,5.2704319589911055,13068.050260903694,0.7498597932234801,0.8482558577563476,0.250108513881187,0.8875075341275609,546.5616239990162,0.007181553659121761
339,160.93441657562835,0.1321336158444358,4.486296722827867,44.45675351821517,1.8935004644330615,85.46905999734453,0.07311263388749197,0.04059921531227332,3.8610704494485244,842.1230259270981,0.6846700942077771,0.8075902876963885,0.3255615966620471,0.8507502883899585,37.71717545328407,0.035028526927841405
340,101.00397330933727,0.11099722037359089,138.23149511861297,235.90420036183647,1.6929742731566906,277.05575803347216,0.14168657666259532,0.07493400188321006,4.614380979311018,695.4158429792444,0.7619028906331164,0.85106998264893,0.28481422762066094,0.893216867474414,227.88913439402953,0.06487816059475028
341,3340.22753767588,0.045829999021082826,220.02878981750004,660.8563847319415,2.053027548336134,1836.8882539320048,0.02198252410649927,0.01175642174860386,5.670359729188157,51490.016450712,0.7044777782407723,0.8006412090209375,0.4758389514386931,0.8635406349330237,535.8940149005413,0.010133472945758382
342,14191.610458085455,0.09842885390843296,9.676897973215917,1129.8690179844814,1.7270671259753203,1949.3576761890706,0.0017125006303533134,0.0010220385821395664,4.322287387902507,102709.17064775129,0.7109120898221353,0.8281710937261835,0.26347042145444816,0.8682704476715843,981.1871202614225,0.0008975279959994326
343,278.69086048651985,0.05365660815287836,182.80560051527178,401.1639051274308,1.5855510031578015,570.7317578810158,0.047401814838174613,0.02727428613789003,5.383406732857728,3971.846427377733,0.7629609475409216,0.858507850072521,0.22040875375140584,0.8952754242383432,370.2010514501744,0.023788315969751967
